iter	Logloss
309	0.1025041756
310	0.101769591
311	0.1013780962
312	0.1009736742
313	0.1005797536
314	0.1004301934
315	0.09985988182
316	0.09914485979
317	0.09903469866
318	0.09872315535
319	0.09826735393
320	0.09782035534
321	0.09765730743
322	0.09698735542
323	0.09670048046
324	0.09621131815
325	0.09615471657
326	0.09565674179
327	0.09514750183
328	0.09482133786
329	0.09450914156
330	0.09435439085
331	0.0942391717
332	0.09405816833
333	0.09400049275
334	0.09343469616
335	0.0933246831
336	0.0927142635
337	0.09242401204
338	0.09216580416
339	0.0916178454
340	0.09130432382
341	0.09078636961
342	0.09038224288
343	0.08979028411
344	0.08955468228
345	0.08938035159
346	0.08885831813
347	0.08871270532
348	0.08824866598
349	0.08780783995
350	0.0872719595
351	0.08658683019
352	0.08602090021
353	0.08554006893
354	0.08521802899
355	0.084965202
356	0.08460041205
357	0.08399564734
358	0.0836938546
359	0.08362941714
360	0.08304389531
361	0.08300861241
362	0.08254755719
363	0.08235579311
364	0.08225532298
365	0.08202361729
366	0.0812606403
367	0.08065939353
368	0.08059675222
369	0.08025946914
370	0.08013876647
371	0.0798638204
372	0.07970059581
373	0.07940356827
374	0.07930605845
375	0.07884197718
376	0.07864298189
377	0.07832113458
378	0.07818892247
379	0.07760571738
380	0.07745546673
381	0.07713009324
382	0.07689211128
383	0.07654109678
384	0.07638729436
385	0.07623414081
386	0.0759115584
387	0.07568526863
388	0.07549484653
389	0.07540810816
390	0.07507050322
391	0.07501337341
392	0.0748799464
393	0.07482206765
394	0.07449856588
395	0.07411759597
396	0.07388952253
397	0.07364793755
398	0.07349883253
399	0.07341148262
400	0.07316227636
401	0.07302288471
402	0.07279757673
403	0.07263093174
404	0.07194839159
405	0.07166659998
406	0.07154940065
407	0.07135800991
408	0.07064913293
409	0.07051501523
410	0.07026677839
411	0.07019930423
412	0.0698638264
413	0.06950646904
414	0.069209605
415	0.06913800649
416	0.06886570675
417	0.06850685959
418	0.06809783425
419	0.06779343967
420	0.06767107533
421	0.06746365707
422	0.06719845576
423	0.06677499702
424	0.06637425921
425	0.06624045509
426	0.06603652749
427	0.06562797145
428	0.06539121493
429	0.06506740936
430	0.06474495763
431	0.06456064564
432	0.06441116957
433	0.06396212437
434	0.06371936474
435	0.06360462968
436	0.06345636825
437	0.0633823512
438	0.06310029204
439	0.06284114533
440	0.06240931206
441	0.0621157106
442	0.0618846026
443	0.06175453193
444	0.06162776648
445	0.06151816341
446	0.06123542881
447	0.06094921697
448	0.06046848001
449	0.06012763181
450	0.06002968287
451	0.05993020393
452	0.05975771258
453	0.05971750315
454	0.05949257927
455	0.05934821668
456	0.05916182096
457	0.05909650164
458	0.05888043312
459	0.05858752296
460	0.05822035044
461	0.058029139
462	0.05794228241
463	0.05773919768
464	0.05760139521
465	0.05754299342
466	0.05741620417
467	0.05719108766
468	0.05714567868
469	0.05701725828
470	0.05691146073
471	0.05675702122
472	0.0566300224
473	0.05646018796
474	0.05634148466
475	0.05621832863
476	0.05613678516
477	0.05582969192
478	0.05571049762
479	0.05558219667
480	0.0552224626
481	0.05512537656
482	0.05488570734
483	0.05480471506
484	0.05464960595
485	0.05453704419
486	0.0544261897
487	0.05422807852
488	0.0540716174
489	0.05392949596
490	0.05363504745
491	0.05358670025
492	0.05337398185
493	0.05320502014
494	0.05308873702
495	0.05273826325
496	0.05258281869
497	0.05241687202
498	0.05237634836
499	0.05213599946
500	0.05187486659
501	0.05154287073
502	0.05140353078
503	0.05129506823
504	0.05120791652
505	0.05103491052
506	0.05091313217
507	0.05043924884
508	0.05004587134
509	0.04988672081
510	0.04941573819
511	0.04934444787
512	0.04920074224
513	0.0490744462
514	0.04895368754
515	0.04872991463
516	0.0485960778
517	0.04837133566
518	0.04834167392
519	0.04798635292
520	0.04790057049
521	0.04786074841
522	0.04776644854
523	0.04757232475
524	0.04745994204
525	0.04707486159
526	0.04694894631
527	0.04680765968
528	0.04676482192
529	0.04665092115
530	0.04655993562
531	0.04630331219
532	0.04611936303
